14:06:23 INF cmd/nasd/main.go:297 > loading config file path=/home/seanbao/.config/mnemonas/config.toml
14:06:23 INF cmd/nasd/main.go:79 > starting MnemoNAS address=0.0.0.0:8080 data_dir=/home/seanbao/.mnemonas/data version=dev
14:06:23 WRN cmd/nasd/main.go:87 > ⚠️  WebDAV authentication is DISABLED - WebDAV access is unprotected!
14:06:23 WRN cmd/nasd/main.go:88 >    Set [webdav].auth_type = "basic" to enable WebDAV authentication
14:06:23 WRN cmd/nasd/main.go:91 > ⚠️  TLS/HTTPS is DISABLED - data transmitted in plain text!
14:06:23 WRN cmd/nasd/main.go:92 >    Set [server.tls].enabled = true for secure connections
14:34:34 INF internal/api/server.go:1211 > request bytes=41 duration=0.033389 method=GET path=/api/v1/ui/config remote=127.0.0.1:39016 status=401
14:34:34 INF internal/api/server.go:1211 > request bytes=41 duration=0.035914 method=GET path=/api/v1/ui/config remote=127.0.0.1:39020 status=401
14:38:58 INF internal/api/server.go:1211 > request bytes=41 duration=0.077317 method=GET path=/api/v1/ui/config remote=127.0.0.1:33226 status=401
14:38:59 INF internal/api/server.go:1211 > request bytes=41 duration=0.034306 method=GET path=/api/v1/ui/config remote=127.0.0.1:33228 status=401
14:42:31 INF internal/api/server.go:1211 > request bytes=41 duration=0.042474 method=GET path=/api/v1/ui/config remote=127.0.0.1:44694 status=401
14:42:31 INF internal/api/server.go:1211 > request bytes=41 duration=0.023508 method=GET path=/api/v1/ui/config remote=127.0.0.1:44698 status=401
14:42:36 INF internal/api/server.go:1211 > request bytes=41 duration=0.036518 method=GET path=/api/v1/ui/config remote=127.0.0.1:36112 status=401
14:42:36 INF internal/api/server.go:1211 > request bytes=41 duration=0.035958 method=GET path=/api/v1/ui/config remote=127.0.0.1:36118 status=401
14:42:37 INF internal/api/server.go:1211 > request bytes=41 duration=0.072128 method=GET path=/api/v1/ui/config remote=127.0.0.1:36122 status=401
14:42:37 INF internal/api/server.go:1211 > request bytes=41 duration=0.031101 method=GET path=/api/v1/ui/config remote=127.0.0.1:36136 status=401
